"VP_Nummer","Name","Gruppe","Index","AV"
1,"Muhammad","A","1,1",49
2,"Aya","A","1,2",37
3,"Lethabo","A","1,3",53
4,"Fatima","A","1,4",79
5,"Jakari","A","1,5",56
6,"Onalerona","A","1,6",58
7,"Mateo","A","1,7",54
8,"Isabella","A","1,8",40
9,"Noah","A","1,9",52
10,"Emma","A","1,10",53
11,"Santiago","B","2,1",59
12,"Maria","B","2,2",70
13,"Minato","B","2,3",63
14,"Mei","B","2,4",68
15,"Ram","B","2,5",43
16,"Rekha","B","2,6",36
17,"Somchai","B","2,7",50
18,"Nguyên","B","2,8",60
19,"Oliver","B","2,9",42
20,"Sophia","B","2,10",54
21,"Luka","C","3,1",26
22,"Yelena","C","3,2",55
23,"Gabriel","C","3,3",41
24,"Mia","C","3,4",56
25,"Jack","C","3,5",40
26,"Charlotte","C","3,6",50
27,"Manea","C","3,7",45
28,"Kiana","C","3,8",35
29,"Ariki","C","3,9",63
30,"Aroha","C","3,10",58
